Name,AvgCyclomaticModified,AvgCyclomatic,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
AbstractJarDestinationWizardPage.java,2,2,3,1,11,0,10,1,18,18,4,18,0,0,14,4,341,38,223,78,133,86,129,179,75,104,11,11,13,0.39,50,50,56,30
AbstractJavaCompletionProposal.java,2,2,2,1,9,0,7,0,74,71,23,74,0,9,24,41,1199,155,691,256,390,362,385,542,257,285,16,16,26,0.52,158,157,189,101
AbstractJavaContextType.java,1,1,1,1,7,0,6,0,33,33,2,33,0,0,14,19,387,61,271,105,141,70,145,209,95,114,6,6,8,0.26,53,53,57,41
AbstractJavaEditorTextHover.java,1,1,1,1,6,0,6,0,12,11,1,12,0,1,4,7,175,23,95,43,41,58,52,73,45,28,5,5,6,0.61,20,20,21,18
AbstractJavaElementLabelDecorator.java,2,2,2,1,7,0,6,0,9,9,2,9,0,1,2,6,130,23,79,31,35,28,47,67,34,33,4,4,4,0.35,20,20,22,9
AbstractJavaElementRenameChange.java,1,1,1,1,4,0,4,0,12,12,4,12,0,0,8,4,98,21,67,35,25,12,40,52,32,20,2,2,2,0.18,13,13,13,12
AbstractJavaScanner.java,2,2,3,1,8,0,8,0,21,21,9,21,0,8,8,5,360,51,201,76,116,108,119,172,79,93,6,6,8,0.54,56,56,65,24
AbstractJavaSearchResult.java,2,2,2,1,8,0,8,0,10,10,0,10,0,3,0,7,143,18,102,40,50,24,53,80,41,39,6,6,6,0.24,26,26,27,16
AbstractJspParser.java,4,4,4,3,18,1,16,1,14,14,5,14,2,7,5,0,295,34,236,47,168,29,119,175,47,128,17,17,18,0.12,62,57,63,44
AbstractMethodCorrectionProposal.java,2,2,2,1,10,1,8,0,14,14,2,14,0,3,10,1,215,40,161,82,84,16,117,141,84,57,8,8,11,0.1,30,30,35,19
AbstractMultiFix.java,2,2,2,1,6,0,5,0,11,6,0,11,0,2,7,2,130,24,74,29,33,32,43,64,33,31,3,3,5,0.43,22,22,25,17
AbstractOpenWizardAction.java,1,1,2,1,7,0,7,0,10,10,3,10,0,1,5,4,185,24,102,50,45,59,62,81,49,32,4,4,5,0.58,19,19,20,14
AbstractProposalSorter.java,1,1,1,1,1,0,1,0,4,4,0,4,0,0,1,3,83,8,14,10,0,61,6,10,10,0,1,1,1,4.36,4,4,4,4
AbstractRefactoringDescriptorResourceMapping.java,2,2,2,1,7,0,7,0,7,7,2,7,0,0,1,6,141,13,76,36,35,53,43,60,36,24,5,5,7,0.7,16,16,19,10
AbstractRefactoringHistoryResourceMapping.java,2,2,2,1,7,0,7,0,7,7,2,7,0,0,1,6,147,14,75,38,35,59,49,65,40,25,4,4,4,0.79,15,15,16,10
AbstractResourceMappingMerger.java,2,2,3,1,12,0,11,0,19,15,1,19,1,6,5,7,456,31,259,104,148,167,153,210,111,99,9,9,11,0.64,50,50,57,23
AbstractResourceUndoState.java,2,2,2,1,8,0,8,0,7,7,5,7,1,0,3,3,130,16,72,26,35,42,40,58,28,30,7,7,7,0.58,17,17,18,7
AbstractResourcesHandler.java,11,11,11,5,41,3,38,5,1,1,0,1,0,0,1,0,78,12,56,25,27,15,37,48,28,20,11,11,11,0.27,11,11,11,5
AbstractSaveParticipantPreferenceConfiguration.java,1,1,1,1,5,0,4,0,15,15,2,15,0,1,4,10,186,32,91,44,41,64,58,74,45,29,2,2,2,0.7,17,17,17,15
AbstractSerialVersionOperation.java,3,3,3,1,14,2,12,0,4,4,2,4,0,0,3,1,141,25,79,46,42,39,59,72,46,26,11,11,12,0.49,14,14,15,6
AbstractSpellDictionary.java,3,3,4,2,18,2,15,0,26,25,7,26,0,2,14,10,752,117,457,139,315,182,284,384,143,241,14,14,15,0.4,98,98,105,64
AbstractSynchronizationCompareAdapter.java,3,3,3,1,8,0,8,0,2,2,0,2,0,0,1,1,81,6,28,15,12,47,17,24,15,9,4,4,4,1.68,6,6,6,2
AbstractSynchronizationContentProvider.java,7,7,8,1,52,1,51,0,2,2,0,2,0,0,1,1,149,10,91,48,50,48,67,80,52,28,10,10,12,0.53,14,14,16,2
AbstractSynchronizationLabelProvider.java,3,3,3,2,10,0,10,0,4,4,0,4,0,0,4,0,124,7,53,20,29,64,29,45,21,24,8,8,8,1.21,15,15,15,11
AbstractTemplateCompletionProposalComputer.java,2,2,2,2,9,1,8,0,6,6,1,6,0,0,1,5,134,22,66,32,32,46,44,59,34,25,9,9,9,0.7,15,15,15,14
AbstractToStringGenerator.java,4,4,5,1,23,1,20,3,27,27,11,27,0,0,21,6,963,93,628,197,451,304,443,561,210,351,24,24,32,0.48,122,122,148,45
AbstractToggleLinkingAction.java,1,1,1,1,4,0,4,0,2,2,0,2,0,0,0,2,46,7,17,9,6,23,12,14,8,6,1,1,1,1.35,2,2,2,2
AbstractTypeVariable.java,2,2,2,1,6,0,6,0,8,8,1,8,1,0,4,3,83,13,60,16,31,11,28,48,16,32,4,4,4,0.18,19,19,19,14
AbstractVariableResolver.java,3,3,3,1,13,1,11,0,4,4,2,4,0,0,3,1,117,18,61,24,36,38,40,51,24,27,7,7,7,0.62,12,12,12,6
AbstractWorkingSetWizardPage.java,1,1,1,1,14,2,11,0,30,30,7,30,0,8,5,17,529,86,346,99,239,99,246,292,114,178,8,8,10,0.29,47,47,52,32
AcceptRefactoringsAction.java,2,2,2,1,8,0,8,0,8,8,3,8,0,0,0,8,182,24,101,47,48,58,64,86,49,37,7,7,10,0.57,18,18,22,12
AccessAnalyzer.java,2,2,3,1,13,0,12,0,17,17,15,17,0,6,0,11,333,37,274,110,164,28,172,221,103,118,7,7,7,0.1,50,48,54,28
AccessRuleEntryDialog.java,1,1,1,1,14,1,12,0,8,8,5,8,0,0,5,3,189,36,135,57,75,19,92,108,52,56,5,5,5,0.14,14,14,15,13
AccessRulesDialog.java,1,1,1,1,10,1,9,0,24,24,5,24,1,6,8,9,382,67,283,115,162,34,172,217,112,105,7,7,7,0.12,43,42,44,26
AccessRulesLabelProvider.java,2,3,3,1,8,0,8,0,5,3,0,5,0,0,0,5,82,12,54,16,28,17,23,35,16,19,4,3,4,0.31,15,11,15,9
AccessorClassCreator.java,2,2,2,1,14,1,13,1,17,15,9,17,0,15,0,2,336,47,262,97,166,56,167,206,101,105,7,7,7,0.21,38,38,42,20
AccessorClassModifier.java,3,3,3,1,21,3,17,0,13,10,6,13,0,8,0,5,341,70,257,111,165,15,179,224,119,105,8,8,9,0.06,43,43,46,17
AccessorClassReference.java,1,1,1,1,4,0,4,0,7,7,3,7,0,0,0,7,60,12,38,17,13,10,18,27,15,12,2,2,2,0.26,8,8,8,7
AccessorDescription.java,1,1,2,1,8,0,7,0,10,9,4,10,0,0,0,10,150,21,98,38,54,35,54,73,36,37,7,7,9,0.36,18,18,25,16
ActionMessages.java,1,1,1,1,3,0,2,1,1,1,0,1,0,1,0,0,438,27,391,387,2,21,385,387,386,1,1,1,1,0.05,1,1,1,1
ActionUtil.java,3,3,3,3,12,0,11,0,9,1,0,9,0,1,0,8,187,29,126,45,77,32,66,96,45,51,6,6,6,0.25,29,29,35,28
AddArchiveToBuildpathAction.java,2,2,2,1,13,1,12,0,8,8,1,8,0,2,1,5,169,28,124,56,65,17,77,100,54,46,9,9,9,0.14,23,23,23,15
AddArgumentCorrectionProposal.java,2,2,3,1,11,0,10,0,7,7,3,7,0,5,1,1,131,20,98,52,49,15,69,86,54,32,5,5,8,0.15,16,16,22,11
AddBlockCommentAction.java,2,2,3,1,14,3,9,2,7,7,0,7,0,4,2,1,220,39,84,34,46,103,44,63,32,31,7,7,8,1.23,18,18,23,7
AddClassFileMarkerAction.java,2,2,2,1,11,2,9,0,3,3,0,3,0,0,2,1,80,22,41,23,17,17,22,30,21,9,4,4,4,0.41,7,7,7,3
AddCustomConstructorOperation.java,2,2,2,1,9,0,8,0,8,8,11,8,0,0,0,8,214,33,110,54,53,72,76,93,54,39,9,9,10,0.65,16,16,18,8
AddDelegateMethodsAction.java,3,3,3,2,11,0,10,0,35,33,3,35,2,9,2,22,605,74,462,174,258,70,261,370,173,197,13,13,13,0.15,106,106,120,72
